transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,log_amount,merchant_category_enc,risk_score,predicted_fraud,top_reasons
7001,7.12,5,Electronics,1,0,87,1,60,0,2.0943301541735866,1,0.01,0,device_trust_score (-4.03); transaction_hour (-2.58); velocity_last_24h (-2.20)
7026,122.39,20,Clothing,0,0,66,1,29,0,4.815350070910442,0,0.01,0,device_trust_score (-2.85); transaction_hour (-2.57); foreign_transaction (-1.63)
7027,7.36,4,Food,0,0,44,4,25,0,2.1234584270966104,2,0.01,0,device_trust_score (-2.30); transaction_hour (-2.26); velocity_last_24h (-1.82)
7028,747.99,6,Food,0,0,67,0,59,0,6.618725632293246,2,0.01,0,device_trust_score (-2.65); transaction_hour (-2.46); velocity_last_24h (-1.75)
7029,87.06,12,Clothing,0,0,93,3,18,0,4.478018400327608,0,0.01,0,device_trust_score (-2.86); transaction_hour (-2.55); foreign_transaction (-1.45)
7030,29.73,15,Food,0,0,87,0,52,0,3.425239376142393,2,0.01,0,device_trust_score (-3.12); transaction_hour (-2.48); location_mismatch (-1.57)
7031,197.77,4,Food,0,0,67,0,23,0,5.2921483774025075,2,0.01,0,device_trust_score (-2.84); transaction_hour (-2.10); velocity_last_24h (-1.90)
7032,60.21,15,Clothing,0,0,26,1,63,0,4.114310574862978,0,0.01,0,transaction_hour (-3.68); location_mismatch (-2.09); foreign_transaction (-2.03)
7033,158.64,14,Travel,0,0,47,3,33,0,5.072921280180533,4,0.01,0,transaction_hour (-2.93); device_trust_score (-2.23); location_mismatch (-1.69)
7034,159.07,8,Clothing,0,0,36,2,38,0,5.075611219558606,0,0.01,0,transaction_hour (-3.39); foreign_transaction (-2.26); velocity_last_24h (-1.92)
7035,106.22,21,Grocery,0,0,70,3,30,0,4.674882798399391,3,0.01,0,device_trust_score (-2.81); transaction_hour (-2.65); foreign_transaction (-1.64)
7036,325.55,22,Grocery,0,0,57,2,23,0,5.788583076348666,3,0.01,0,device_trust_score (-2.81); transaction_hour (-2.56); foreign_transaction (-1.60)
7037,55.41,11,Grocery,0,0,68,2,56,0,4.032646447751885,3,0.01,0,device_trust_score (-2.87); transaction_hour (-2.67); foreign_transaction (-1.63)
7038,107.16,7,Grocery,0,0,49,4,69,0,4.683611612294654,3,0.01,0,device_trust_score (-2.48); transaction_hour (-2.48); location_mismatch (-1.72)
7039,138.87,12,Electronics,0,0,59,2,46,0,4.940713419791213,1,0.01,0,device_trust_score (-2.80); transaction_hour (-2.72); foreign_transaction (-1.64)
7040,196.12,4,Travel,0,0,59,2,19,0,5.283812680345155,4,0.01,0,device_trust_score (-2.64); transaction_hour (-2.15); velocity_last_24h (-1.68)
7041,275.82,13,Electronics,0,0,89,0,66,0,5.623367475468556,1,0.01,0,device_trust_score (-2.98); transaction_hour (-2.57); velocity_last_24h (-1.58)
7042,90.4,15,Food,0,0,67,3,21,0,4.515245478460105,2,0.01,0,device_trust_score (-2.81); transaction_hour (-2.68); foreign_transaction (-1.53)
7043,186.95,10,Food,0,1,92,3,37,0,5.236175970010187,2,0.01,0,device_trust_score (-3.93); transaction_hour (-3.44); location_mismatch (+2.33)
7044,29.38,19,Clothing,0,0,86,1,66,0,3.4137844971676268,0,0.01,0,device_trust_score (-3.05); transaction_hour (-2.25); foreign_transaction (-1.57)
7045,485.61,11,Grocery,0,0,55,2,25,0,6.187462980898636,3,0.01,0,transaction_hour (-2.82); device_trust_score (-2.59); foreign_transaction (-1.73)
7046,86.94,14,Clothing,0,0,52,3,19,0,4.476654763752664,0,0.01,0,transaction_hour (-2.75); device_trust_score (-2.51); foreign_transaction (-1.55)
7047,235.36,23,Food,0,0,35,0,21,0,5.465356066477474,2,0.01,0,transaction_hour (-3.20); velocity_last_24h (-2.08); foreign_transaction (-2.07)
7048,3.7,11,Grocery,0,0,56,3,58,0,1.547562508716013,3,0.01,0,device_trust_score (-2.88); transaction_hour (-2.51); location_mismatch (-1.62)
7049,41.34,8,Travel,0,0,90,1,56,0,3.745732265706719,4,0.01,0,device_trust_score (-2.90); transaction_hour (-2.32); foreign_transaction (-1.65)
7050,120.18,0,Food,0,0,84,0,35,0,4.797277043516843,2,0.01,0,device_trust_score (-4.32); velocity_last_24h (-2.18); foreign_transaction (-2.15)
7051,379.05,2,Clothing,0,0,75,1,63,0,5.94030282301205,0,0.01,0,device_trust_score (-3.99); velocity_last_24h (-2.16); foreign_transaction (-2.16)
7052,134.86,11,Clothing,1,0,83,1,50,0,4.911624943763156,0,0.01,0,device_trust_score (-4.00); transaction_hour (-3.49); foreign_transaction (+2.12)
7053,478.33,19,Food,0,1,41,1,27,0,6.1723892954857815,2,0.01,0,transaction_hour (-3.59); device_trust_score (-2.95); location_mismatch (+2.27)
7054,119.03,12,Electronics,0,0,92,3,56,0,4.787741711537254,1,0.01,0,device_trust_score (-2.98); transaction_hour (-2.67); foreign_transaction (-1.59)
7055,121.36,22,Travel,0,1,62,2,35,0,4.806967519282702,4,0.01,0,device_trust_score (-3.52); transaction_hour (-3.39); location_mismatch (+2.41)
7056,22.96,5,Food,0,1,88,1,36,0,3.1763857732472487,2,0.01,0,device_trust_score (-4.17); transaction_hour (-2.58); location_mismatch (+2.38)
7057,292.11,9,Food,0,0,27,4,48,0,5.680547965183287,2,0.01,0,transaction_hour (-3.66); foreign_transaction (-2.19); location_mismatch (-2.11)
7058,51.06,9,Clothing,0,0,78,4,62,0,3.9523968995664194,0,0.01,0,device_trust_score (-2.92); transaction_hour (-2.47); foreign_transaction (-1.61)
7059,413.77,15,Grocery,0,0,68,3,32,0,6.027724149728293,3,0.01,0,transaction_hour (-2.78); device_trust_score (-2.77); foreign_transaction (-1.68)
7060,435.09,0,Grocery,1,0,54,3,69,0,6.0778486440652895,3,0.23,1,device_trust_score (-3.58); foreign_transaction (+3.24); transaction_hour (+2.56)
7061,516.63,15,Grocery,0,1,99,2,56,0,6.249260701321615,3,0.01,0,transaction_hour (-3.51); device_trust_score (-3.43); location_mismatch (+2.37)
7062,132.2,3,Clothing,0,0,78,0,51,0,4.891851758106289,0,0.01,0,device_trust_score (-4.24); foreign_transaction (-2.09); velocity_last_24h (-2.09)
7063,203.47,5,Grocery,0,0,72,2,69,0,5.3204212654549625,3,0.01,0,device_trust_score (-2.73); transaction_hour (-2.10); location_mismatch (-1.71)
7064,271.33,18,Food,0,0,59,6,37,0,5.607014566214904,2,0.01,0,transaction_hour (-3.72); device_trust_score (-3.65); velocity_last_24h (+3.01)
7065,25.28,1,Electronics,0,0,92,2,49,0,3.26880819361641,1,0.01,0,device_trust_score (-4.33); foreign_transaction (-2.18); location_mismatch (-2.07)
7066,165.36,17,Electronics,0,0,50,1,69,0,5.114154114874711,1,0.01,0,transaction_hour (-2.66); device_trust_score (-2.58); location_mismatch (-1.61)
7067,6.28,9,Electronics,0,0,96,4,45,0,1.9851308622085946,1,0.01,0,device_trust_score (-3.01); transaction_hour (-2.31); foreign_transaction (-1.59)
7068,123.89,3,Grocery,0,0,80,0,43,0,4.827433349874994,3,0.01,0,device_trust_score (-4.25); velocity_last_24h (-2.14); foreign_transaction (-2.10)
7069,30.28,0,Electronics,0,0,93,1,56,0,3.4429789156771102,1,0.01,0,device_trust_score (-4.44); foreign_transaction (-2.10); velocity_last_24h (-1.98)
7070,36.36,14,Grocery,0,0,88,1,55,0,3.620600613360642,3,0.01,0,device_trust_score (-3.08); transaction_hour (-2.51); location_mismatch (-1.60)
7071,81.76,9,Food,0,1,53,1,35,0,4.415944852877343,2,0.01,0,device_trust_score (-3.34); transaction_hour (-3.27); location_mismatch (+2.41)
7072,101.95,17,Food,0,0,83,2,63,0,4.634243433473799,2,0.01,0,device_trust_score (-3.02); transaction_hour (-2.63); foreign_transaction (-1.56)
7073,175.67,15,Clothing,0,0,49,0,28,0,5.174283585624589,0,0.01,0,transaction_hour (-2.76); device_trust_score (-2.62); foreign_transaction (-1.63)
7074,13.92,12,Clothing,0,0,96,4,60,0,2.702702594775615,0,0.01,0,device_trust_score (-3.05); transaction_hour (-2.44); location_mismatch (-1.54)
7075,126.1,14,Travel,0,0,51,2,27,0,4.844974178195408,4,0.01,0,transaction_hour (-2.83); device_trust_score (-2.40); foreign_transaction (-1.70)
7076,36.3,1,Food,0,0,46,2,19,0,3.6189933266497696,2,0.01,0,device_trust_score (-3.05); location_mismatch (-2.17); foreign_transaction (-2.15)
7077,153.59,19,Grocery,0,0,95,1,52,0,5.0407764510082425,3,0.01,0,device_trust_score (-3.03); transaction_hour (-2.45); foreign_transaction (-1.62)
7078,182.6,3,Travel,0,1,71,1,59,0,5.21275947818639,4,0.02,0,device_trust_score (-4.22); location_mismatch (+3.24); velocity_last_24h (-1.83)
7079,146.44,0,Food,0,1,79,2,50,0,4.9934213133615675,2,0.02,0,device_trust_score (-4.54); location_mismatch (+3.13); transaction_hour (+2.39)
7080,241.3,6,Grocery,0,0,33,3,65,0,5.49017662782248,3,0.01,0,transaction_hour (-3.14); foreign_transaction (-2.18); location_mismatch (-2.09)
7081,73.6,22,Food,0,0,78,0,31,0,4.312140507209715,2,0.01,0,device_trust_score (-3.03); transaction_hour (-2.46); velocity_last_24h (-1.59)
7082,260.75,10,Food,0,0,88,0,26,0,5.567389849750646,2,0.01,0,device_trust_score (-3.02); transaction_hour (-2.65); velocity_last_24h (-1.62)
7083,102.06,9,Grocery,0,0,63,5,24,0,4.635311342900078,3,0.01,0,device_trust_score (-3.31); transaction_hour (-3.15); velocity_last_24h (+3.07)
7084,119.16,0,Food,0,0,32,1,40,0,4.788824188015824,2,0.03,0,foreign_transaction (-2.61); transaction_hour (+2.60); location_mismatch (-2.30)
7085,187.99,10,Food,0,0,51,2,24,0,5.241694103606946,2,0.01,0,transaction_hour (-2.84); device_trust_score (-2.57); foreign_transaction (-1.66)
7086,3.34,23,Food,0,0,93,0,18,0,1.4678743481123135,2,0.01,0,device_trust_score (-2.96); transaction_hour (-2.02); velocity_last_24h (-1.67)
7087,191.03,9,Clothing,0,1,57,3,37,0,5.257651609822021,0,0.01,0,device_trust_score (-3.64); transaction_hour (-3.25); location_mismatch (+2.33)
7088,173.5,13,Electronics,0,0,34,0,63,0,5.161924741642482,1,0.01,0,transaction_hour (-3.60); foreign_transaction (-2.19); location_mismatch (-1.99)
7089,66.75,13,Food,1,0,40,3,57,0,4.21582445975981,2,0.01,0,transaction_hour (-4.06); foreign_transaction (+2.60); location_mismatch (-2.16)
7090,16.15,6,Grocery,0,0,35,3,52,0,2.8419981736119486,3,0.01,0,transaction_hour (-2.98); foreign_transaction (-2.20); location_mismatch (-2.08)
7091,17.16,22,Food,1,0,43,2,55,0,2.8992213731731473,2,0.01,0,transaction_hour (-3.65); device_trust_score (-2.61); foreign_transaction (+2.41)
7092,462.03,10,Clothing,0,1,88,4,64,0,6.137791846803555,0,0.01,0,device_trust_score (-3.54); transaction_hour (-3.40); location_mismatch (+2.41)
7093,210.39,21,Clothing,0,0,76,0,69,0,5.353704768627595,0,0.01,0,device_trust_score (-2.77); transaction_hour (-2.44); velocity_last_24h (-1.58)
7094,24.47,3,Food,0,0,39,2,64,0,3.2375012889913655,2,0.01,0,foreign_transaction (-2.70); velocity_last_24h (-2.14); location_mismatch (-2.07)
7095,79.41,23,Travel,0,0,66,1,25,0,4.387138546560058,4,0.01,0,device_trust_score (-2.79); transaction_hour (-2.40); location_mismatch (-1.58)
7096,161.58,1,Electronics,0,0,62,1,48,0,5.091170188318427,1,0.01,0,device_trust_score (-3.98); foreign_transaction (-2.31); velocity_last_24h (-2.16)
7097,324.95,6,Grocery,0,0,73,3,36,0,5.786743995370548,3,0.01,0,device_trust_score (-2.85); transaction_hour (-2.28); foreign_transaction (-1.74)
7098,8.04,18,Grocery,0,0,73,3,22,0,2.201659174404085,3,0.01,0,device_trust_score (-2.89); transaction_hour (-2.48); location_mismatch (-1.57)
7099,48.6,13,Grocery,0,0,95,1,62,0,3.903990833730882,3,0.01,0,device_trust_score (-3.03); transaction_hour (-2.60); foreign_transaction (-1.54)
7100,396.9,18,Grocery,0,0,79,2,51,0,5.986200717432883,3,0.01,0,device_trust_score (-2.95); transaction_hour (-2.70); foreign_transaction (-1.65)
7101,1.66,6,Clothing,0,0,46,1,61,0,0.9783261227936076,0,0.01,0,device_trust_score (-2.43); transaction_hour (-2.30); velocity_last_24h (-1.75)
7102,40.48,11,Electronics,0,0,67,2,33,0,3.7252113833613265,1,0.01,0,device_trust_score (-2.87); transaction_hour (-2.59); foreign_transaction (-1.62)
7103,575.06,2,Food,0,0,74,2,24,0,6.356211821937587,2,0.01,0,device_trust_score (-3.67); location_mismatch (-2.20); foreign_transaction (-2.13)
7104,171.07,14,Food,0,0,43,3,58,0,5.147901370765066,2,0.01,0,transaction_hour (-3.02); device_trust_score (-2.06); foreign_transaction (-1.75)
7105,54.61,4,Travel,0,0,96,2,38,0,4.018363041199472,4,0.01,0,device_trust_score (-2.99); transaction_hour (-2.07); foreign_transaction (-1.69)
7106,12.48,7,Food,0,0,42,4,61,0,2.601207105484161,2,0.01,0,transaction_hour (-2.62); device_trust_score (-2.06); foreign_transaction (-1.77)
7107,5.15,13,Electronics,0,0,34,3,42,0,1.8164520818184267,1,0.01,0,transaction_hour (-3.39); foreign_transaction (-2.12); location_mismatch (-2.10)
7108,50.53,3,Food,0,0,74,3,64,0,3.942164162340133,2,0.01,0,device_trust_score (-4.08); foreign_transaction (-2.18); location_mismatch (-1.93)
7109,383.89,6,Clothing,0,0,73,1,62,0,5.952957579177967,0,0.01,0,device_trust_score (-2.82); transaction_hour (-2.22); velocity_last_24h (-1.74)
7110,96.79,6,Food,0,0,65,2,19,0,4.5828223223241835,2,0.01,0,device_trust_score (-2.79); transaction_hour (-2.26); velocity_last_24h (-1.62)
7111,229.35,17,Grocery,0,0,39,0,25,0,5.439599891381926,3,0.01,0,transaction_hour (-3.35); foreign_transaction (-2.25); velocity_last_24h (-1.99)
7112,450.81,13,Grocery,0,0,47,4,36,0,6.113261737476429,3,0.01,0,transaction_hour (-2.91); device_trust_score (-2.42); foreign_transaction (-1.72)
7113,94.38,7,Grocery,0,0,51,2,59,0,4.557868912870078,3,0.01,0,transaction_hour (-2.59); device_trust_score (-2.54); foreign_transaction (-1.75)
7114,38.21,11,Grocery,0,0,30,0,54,0,3.6689318163042404,3,0.01,0,transaction_hour (-3.59); foreign_transaction (-2.17); location_mismatch (-2.14)
7115,131.04,9,Clothing,0,0,48,2,36,0,4.883104906984992,0,0.01,0,transaction_hour (-2.64); device_trust_score (-2.54); foreign_transaction (-1.73)
7116,429.64,13,Clothing,0,0,33,4,18,0,6.065272474252702,0,0.01,0,transaction_hour (-3.52); foreign_transaction (-2.10); location_mismatch (-1.96)
7117,293.68,8,Clothing,1,0,98,4,45,0,5.685890021814613,0,0.01,0,device_trust_score (-3.91); transaction_hour (-3.12); foreign_transaction (+2.31)
7118,12.26,5,Food,0,0,86,1,57,0,2.5847519847577165,2,0.01,0,device_trust_score (-3.15); transaction_hour (-1.97); velocity_last_24h (-1.71)
7119,212.31,4,Grocery,1,0,91,0,31,0,5.3627465067037265,3,0.01,0,device_trust_score (-3.98); transaction_hour (-2.71); velocity_last_24h (-2.38)
7120,152.71,0,Travel,0,0,94,4,40,0,5.035067710236841,4,0.01,0,device_trust_score (-4.12); foreign_transaction (-2.26); location_mismatch (-2.16)
7121,428.43,0,Travel,0,1,66,1,25,0,6.062458747932046,4,0.37,1,device_trust_score (-3.65); location_mismatch (+3.28); transaction_hour (+2.44)
7122,23.52,19,Grocery,0,1,84,2,52,0,3.1994891110680106,3,0.01,0,device_trust_score (-4.13); transaction_hour (-3.05); location_mismatch (+2.40)
7123,137.46,16,Electronics,0,0,72,4,48,0,4.9305814752498796,1,0.01,0,device_trust_score (-2.77); transaction_hour (-2.77); foreign_transaction (-1.63)
7124,380.84,10,Food,0,0,80,1,40,0,5.945001672697641,2,0.01,0,device_trust_score (-3.03); transaction_hour (-2.71); velocity_last_24h (-1.61)
7125,94.98,11,Travel,0,0,29,1,63,0,4.564139836430099,4,0.01,0,transaction_hour (-3.65); location_mismatch (-2.14); foreign_transaction (-2.10)
7126,118.4,2,Clothing,0,0,78,2,24,0,4.782479200958502,0,0.01,0,device_trust_score (-4.16); foreign_transaction (-2.08); velocity_last_24h (-1.99)
7127,13.15,5,Electronics,0,0,62,2,19,0,2.649714624089247,1,0.01,0,device_trust_score (-2.78); transaction_hour (-1.99); velocity_last_24h (-1.74)
7128,58.67,10,Clothing,0,0,43,0,36,0,4.088829381533991,0,0.01,0,transaction_hour (-2.92); device_trust_score (-2.02); foreign_transaction (-1.69)
7129,70.62,12,Electronics,1,0,93,2,45,0,4.271374364570287,1,0.01,0,device_trust_score (-4.04); transaction_hour (-3.48); foreign_transaction (+2.15)
7130,522.48,10,Electronics,0,0,97,2,55,0,6.2604988251872795,1,0.01,0,device_trust_score (-2.90); transaction_hour (-2.72); location_mismatch (-1.66)
7131,59.8,7,Food,0,0,95,1,53,0,4.107589788972121,2,0.01,0,device_trust_score (-3.01); transaction_hour (-2.39); foreign_transaction (-1.62)
7132,111.2,9,Clothing,0,0,48,3,69,0,4.720282993088596,0,0.01,0,transaction_hour (-2.50); device_trust_score (-2.48); foreign_transaction (-1.67)
7133,200.27,1,Clothing,0,0,34,0,50,0,5.304647290242906,0,0.02,0,foreign_transaction (-2.66); transaction_hour (+2.52); velocity_last_24h (-2.27)
7134,31.85,23,Travel,0,0,45,1,35,0,3.4919517449306197,4,0.01,0,transaction_hour (-2.43); device_trust_score (-2.24); location_mismatch (-1.71)
7135,119.95,13,Grocery,0,0,39,2,55,0,4.795377237056036,3,0.01,0,transaction_hour (-3.41); foreign_transaction (-2.27); location_mismatch (-1.89)
7136,241.46,15,Grocery,0,0,88,4,27,0,5.490836748318437,3,0.01,0,device_trust_score (-3.00); transaction_hour (-2.71); foreign_transaction (-1.64)
7137,362.94,16,Travel,0,0,37,3,43,0,5.896989018885097,4,0.01,0,transaction_hour (-3.41); foreign_transaction (-2.25); location_mismatch (-1.98)
7138,177.15,10,Electronics,0,0,95,4,32,0,5.182625892051845,1,0.01,0,device_trust_score (-2.95); transaction_hour (-2.72); foreign_transaction (-1.60)
7139,199.04,1,Travel,0,0,64,2,49,0,5.298517346550703,4,0.01,0,device_trust_score (-3.84); location_mismatch (-2.39); foreign_transaction (-2.37)
7140,24.3,23,Travel,0,0,32,6,34,0,3.2308043957334744,4,0.28,1,velocity_last_24h (+3.87); transaction_hour (-3.12); location_mismatch (-2.03)
7141,524.64,22,Clothing,0,0,62,3,18,0,6.2646165677754375,0,0.01,0,device_trust_score (-2.59); transaction_hour (-2.50); location_mismatch (-1.58)
7142,25.6,4,Travel,0,0,76,0,32,0,3.2809112157876537,4,0.01,0,device_trust_score (-2.86); transaction_hour (-1.99); velocity_last_24h (-1.73)
7143,268.24,15,Electronics,0,0,26,2,43,0,5.595603175142513,1,0.01,0,transaction_hour (-3.71); foreign_transaction (-2.14); location_mismatch (-2.04)
7144,55.37,15,Grocery,0,0,46,0,51,0,4.031937102093484,3,0.01,0,transaction_hour (-2.84); device_trust_score (-2.39); foreign_transaction (-1.62)
7145,488.15,1,Food,0,0,28,0,21,0,6.1926691909034375,2,0.04,0,transaction_hour (+2.53); foreign_transaction (-2.29); location_mismatch (-2.17)
7146,229.11,15,Travel,0,0,76,1,44,0,5.438557455462482,4,0.01,0,device_trust_score (-2.83); transaction_hour (-2.71); location_mismatch (-1.62)
7147,252.3,4,Travel,0,0,31,1,57,0,5.5345745570076295,4,0.01,0,transaction_hour (-2.99); foreign_transaction (-2.21); location_mismatch (-2.16)
7148,44.51,7,Clothing,0,0,25,1,24,0,3.8179320820285505,0,0.01,0,transaction_hour (-3.59); foreign_transaction (-2.03); location_mismatch (-1.99)
7149,105.35,19,Clothing,0,0,82,4,53,0,4.666735541646246,0,0.01,0,device_trust_score (-2.99); transaction_hour (-2.44); foreign_transaction (-1.63)
7150,173.13,13,Travel,0,0,86,4,62,0,5.159802146691291,4,0.01,0,device_trust_score (-2.91); transaction_hour (-2.70); location_mismatch (-1.67)
7151,264.52,9,Travel,0,0,90,2,69,0,5.581690167411719,4,0.01,0,device_trust_score (-2.82); transaction_hour (-2.40); location_mismatch (-1.70)
7152,19.76,22,Electronics,0,0,79,5,46,0,3.033028058297688,1,0.01,0,device_trust_score (-4.01); transaction_hour (-3.04); velocity_last_24h (+2.80)
7153,590.37,1,Grocery,1,0,37,1,65,1,6.38244187904345,3,99.11,1,foreign_transaction (+3.66); transaction_hour (+2.86); device_trust_score (+1.66)
7154,397.67,2,Grocery,0,0,52,2,38,0,5.988134007011526,3,0.01,0,device_trust_score (-3.48); foreign_transaction (-2.41); location_mismatch (-2.25)
7155,56.73,17,Food,0,0,38,1,32,0,4.055776969072842,2,0.01,0,transaction_hour (-3.48); foreign_transaction (-2.23); velocity_last_24h (-1.91)
7156,311.45,20,Grocery,0,0,27,2,24,0,5.74444445637509,3,0.01,0,transaction_hour (-3.62); foreign_transaction (-2.17); location_mismatch (-2.03)
7157,131.49,1,Food,0,0,40,3,64,0,4.886507170880032,2,0.01,0,foreign_transaction (-2.62); transaction_hour (+2.17); location_mismatch (-2.09)
7158,111.52,20,Clothing,0,0,70,3,59,0,4.723130983621656,0,0.01,0,device_trust_score (-2.82); transaction_hour (-2.63); foreign_transaction (-1.62)
7159,67.95,8,Food,0,0,27,3,45,0,4.233381604239311,2,0.01,0,transaction_hour (-3.60); foreign_transaction (-2.15); location_mismatch (-2.10)
7160,156.57,1,Food,0,0,27,1,26,0,5.059869803973954,2,0.03,0,transaction_hour (+2.61); foreign_transaction (-2.48); location_mismatch (-2.31)
7161,235.61,6,Grocery,1,0,65,1,47,0,5.466413216078009,3,0.01,0,device_trust_score (-3.70); transaction_hour (-2.95); foreign_transaction (+2.32)
7162,95.26,6,Travel,0,0,53,1,68,0,4.567052863874963,4,0.01,0,device_trust_score (-2.45); transaction_hour (-2.22); location_mismatch (-1.73)
7163,178.59,13,Clothing,0,0,64,3,49,0,5.190676475030645,0,0.01,0,device_trust_score (-2.82); transaction_hour (-2.69); foreign_transaction (-1.62)
7164,216.3,4,Electronics,0,0,43,2,61,0,5.381278887262384,1,0.01,0,transaction_hour (-2.44); device_trust_score (-2.12); foreign_transaction (-1.84)
7165,223.52,7,Food,0,1,44,3,30,0,5.413964790073998,2,0.01,0,transaction_hour (-3.37); device_trust_score (-2.97); location_mismatch (+2.45)
7166,9.61,22,Food,0,0,45,3,63,0,2.3617969526258915,2,0.01,0,transaction_hour (-2.50); device_trust_score (-2.36); location_mismatch (-1.68)
7167,353.58,21,Food,1,1,44,2,50,0,5.870933990470235,2,0.06,0,transaction_hour (-3.55); device_trust_score (-3.31); foreign_transaction (+3.09)
7168,110.33,17,Travel,0,0,71,2,19,0,4.712498763740616,4,0.01,0,transaction_hour (-2.72); device_trust_score (-2.66); location_mismatch (-1.57)
7169,54.79,5,Electronics,0,0,68,2,37,0,4.021594641857437,1,0.01,0,device_trust_score (-2.90); transaction_hour (-2.13); foreign_transaction (-1.71)
7170,49.82,13,Grocery,0,0,26,1,62,0,3.928289977892018,3,0.01,0,transaction_hour (-3.71); location_mismatch (-2.09); foreign_transaction (-2.08)
7171,118.75,17,Clothing,0,0,67,4,39,0,4.785406236291025,0,0.01,0,device_trust_score (-2.82); transaction_hour (-2.71); foreign_transaction (-1.62)
7172,392.2,16,Travel,0,0,81,3,52,0,5.974318388273011,4,0.01,0,device_trust_score (-2.89); transaction_hour (-2.71); location_mismatch (-1.69)
